종목코드,날짜,close_1,close_2,close_3,close_4,close_5,close_6,close_7,mean_close,std_close,return_1d,return_3d,num_up_days,종가,전일비,시가,고가,저가,거래량,range_pct,close_vs_open,tail_up,tail_down,volume_price
015760,2025-06-27,28300.0,29100.0,28250.0,34100.0,37850.0,40600.0,39250.0,33921.42857142857,5006.770925660651,-0.0332512315270936,0.15102639296187684,4,39250.0,"하락  1,350",39800.0,40000.0,38600.0,8019427.0,0.035175879396984924,-0.013819095477386936,0.01875,0.01683937823834197,314762509750.0
064350,2025-06-27,212000.0,212000.0,214000.0,200000.0,191800.0,196700.0,201000.0,203928.57142857142,8063.093040995812,0.021860701576004067,0.005,3,201000.0,"상승  4,300",201000.0,209500.0,197200.0,1203275.0,0.06119402985074627,0.0,0.0405727923627685,0.019269776876267748,241858275000.0
005490,2025-06-27,260000.0,262500.0,253500.0,263000.0,269500.0,267500.0,260000.0,262285.71428571426,4890.64079103534,-0.028037383177570093,-0.011406844106463879,3,260000.0,"하락  7,500",268000.0,269000.0,258500.0,264091.0,0.03917910447761194,-0.029850746268656716,0.03345724907063197,0.005802707930367505,68663660000.0
138040,2025-06-27,106400.0,106400.0,112400.0,114100.0,114300.0,113900.0,112200.0,111385.71428571429,3242.3221711027563,-0.014925373134328358,-0.016652059596844872,3,112200.0,"하락  1,700",114000.0,114000.0,111700.0,236582.0,0.02017543859649123,-0.015789473684210527,0.015789473684210527,0.004476275738585497,26544500400.0
000810,2025-06-27,428000.0,428500.0,425500.0,444000.0,440500.0,441500.0,435000.0,434714.28571428574,6911.983087658826,-0.014722536806342015,-0.02027027027027027,3,435000.0,"하락  6,500",439000.0,439000.0,431000.0,65113.0,0.018223234624145785,-0.009111617312072893,0.009111617312072893,0.009280742459396751,28324155000.0
323410,2025-06-27,28100.0,32050.0,31000.0,37000.0,36600.0,31350.0,31450.0,32507.14285714286,2959.17804362589,0.003189792663476874,-0.15,3,31450.0,상승  100,30100.0,31450.0,30100.0,1946396.0,0.044850498338870434,0.044850498338870434,0.0,0.044850498338870434,61214154200.0
267260,2025-06-27,473000.0,470000.0,474000.0,482000.0,497000.0,484000.0,487500.0,481071.4285714286,8801.0899139521,0.007231404958677686,0.011410788381742738,4,487500.0,"상승  3,500",484000.0,498500.0,480500.0,216245.0,0.0371900826446281,0.007231404958677686,0.022066198595787363,0.014568158168574402,105419437500.0
259960,2025-06-27,360500.0,358000.0,350500.0,361500.0,357000.0,358500.0,357500.0,357642.85714285716,3281.0525936731005,-0.002789400278940028,-0.011065006915629323,2,357500.0,"하락  1,000",359000.0,359500.0,353500.0,77468.0,0.016713091922005572,-0.004178272980501393,0.005563282336578581,0.011315417256011316,27694810000.0
010130,2025-06-27,833000.0,816000.0,818000.0,819000.0,790000.0,793000.0,844000.0,816142.8571428572,18090.475563744836,0.06431273644388398,0.030525030525030524,4,844000.0,"상승  51,000",798000.0,909000.0,790000.0,81564.0,0.14912280701754385,0.05764411027568922,0.07150715071507151,0.06835443037974684,68840016000.0
316140,2025-06-27,20850.0,21350.0,21350.0,22200.0,22500.0,22550.0,22500.0,21900.0,648.074069840786,-0.0022172949002217295,0.013513513513513514,4,22500.0,하락  50,22600.0,22850.0,22300.0,2278918.0,0.024336283185840708,-0.004424778761061947,0.015317286652078774,0.008968609865470852,51275655000.0
096770,2025-06-27,100800.0,102400.0,102800.0,101800.0,101000.0,100300.0,97800.0,100985.71428571429,1540.3418650496033,-0.024925224327018942,-0.03929273084479371,2,97800.0,"하락  2,500",99900.0,100100.0,97700.0,239336.0,0.024024024024024024,-0.021021021021021023,0.022977022977022976,0.0010235414534288639,23407060800.0
